,centrality,similarity,auc-roc,auc-prc
0,degree_Centrality,common_Neighbours,0.9348268581250885,0.46866278599834627
1,degree_Centrality,jaccard_Coefficient,0.9528002109155078,0.5904929037342528
2,degree_Centrality,adamicAdar,0.9415173505934552,0.49403414429386694
3,degree_Centrality,preferential_Attachment,0.7751488324715986,0.14447302377099872
4,degree_Centrality,salton,0.954245473353062,0.5959739720849846
5,closeness_Centrality,common_Neighbours,0.949959839331243,0.5408466474926035
6,closeness_Centrality,jaccard_Coefficient,0.9576939332123351,0.578431759179278
7,closeness_Centrality,adamicAdar,0.9582876764507423,0.5749876317929935
8,closeness_Centrality,preferential_Attachment,0.7744736920179326,0.14097066542836842
9,closeness_Centrality,salton,0.9622385386146107,0.6243316325954478
10,betweenness_Centrality,common_Neighbours,0.900682954151633,0.31591835382204986
11,betweenness_Centrality,jaccard_Coefficient,0.9199024776595074,0.3849816167347016
12,betweenness_Centrality,adamicAdar,0.9060610387827844,0.3291274667894578
13,betweenness_Centrality,preferential_Attachment,0.7555184106047204,0.115383126615972
14,betweenness_Centrality,salton,0.9116145240887397,0.3458799328744334
15,page_Rank,common_Neighbours,0.9407982512965685,0.48392722835439134
16,page_Rank,jaccard_Coefficient,0.9581823708411485,0.5963047198017549
17,page_Rank,adamicAdar,0.9481811634672345,0.5093400430451052
18,page_Rank,preferential_Attachment,0.7741621765071988,0.1350830930810933
19,page_Rank,salton,0.9611716808546684,0.6136728619360792
20,h_Index,common_Neighbours,0.9386593737369983,0.5136019408793501
21,h_Index,jaccard_Coefficient,0.9519354334249569,0.5965426246867768
22,h_Index,adamicAdar,0.9455196701424038,0.5439258616817108
23,h_Index,preferential_Attachment,0.775742575710006,0.15360821812704534
24,h_Index,salton,0.9549760921490376,0.6243518835142688
25,k_Shell,common_Neighbours,0.9429546254538113,0.5451461987724857
26,k_Shell,jaccard_Coefficient,0.9516977079131026,0.5830803194574472
27,k_Shell,adamicAdar,0.9498309513508733,0.5778152708825677
28,k_Shell,preferential_Attachment,0.7768785504644803,0.15170716822689742
29,k_Shell,salton,0.9556199886782886,0.6185832192353242
30,coreness,common_Neighbours,0.9314962014451755,0.4608216727402301
31,coreness,jaccard_Coefficient,0.948475128043036,0.5770786335203215
32,coreness,adamicAdar,0.9383257972987643,0.4878394088411635
33,coreness,preferential_Attachment,0.7755741845417234,0.15095968305423088
34,coreness,salton,0.9494583064228054,0.5793487038596109
